Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.000000,-116.500000,180.000000,top
"C2","0.1uF","C_0805_2012Metric_Pad1.20x1.40mm_HandSolder",127.600000,-126.200000,0.000000,top
"C3","0.1uF","C_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.500000,-114.000000,-90.000000,top
"C4","0.1uF","C_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.500000,-122.000000,-90.000000,top
"C5","0.1uF","C_0805_2012Metric_Pad1.20x1.40mm_HandSolder",113.500000,-127.800000,90.000000,top
"C6","0.1uF","C_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.500000,-114.100000,-90.000000,top
"C7","0.1uF","C_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.500000,-122.000000,-90.000000,top
"C8","0.1uF","C_0805_2012Metric_Pad1.20x1.40mm_HandSolder",140.400000,-130.200000,-90.000000,top
"C9","0.1uF","C_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.400000,-89.400000,180.000000,top
"D1","SBA330AH_R1_00001","D_SOD-123HE",134.200000,-62.400000,180.000000,top
"D3","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",119.000000,-114.000000,0.000000,top
"D4","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",119.000000,-122.000000,0.000000,top
"D5","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",119.000000,-130.000000,0.000000,top
"D6","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",127.000000,-122.000000,0.000000,top
"D7","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",135.000000,-114.000000,0.000000,top
"D8","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",135.000000,-122.000000,0.000000,top
"D9","WS2812B","LED_WS2812B_PLCC4_5.0x5.0mm_P3.2mm",135.000000,-130.000000,0.000000,top
"D10","MBR0540","D_SOD-123",130.000000,-75.000000,180.000000,top
"Q1","2N7002","SOT-23_HandSoldering",124.450000,-75.000000,0.000000,top
"Q2","2N7002","SOT-23_HandSoldering",122.700000,-100.625000,180.000000,top
"Q3","PJA3415","SOT-23_HandSoldering",133.300000,-65.900000,180.000000,top
"Q4","2N7002","SOT-23_HandSoldering",146.850000,-122.000000,0.000000,top
"R1","100k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",123.300000,-95.700000,0.000000,top
"R2","1k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",143.000000,-122.000000,90.000000,top
"R3","100k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",122.700000,-71.000000,180.000000,top
"R4","10k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.200000,-68.800000,180.000000,top
"R5","100k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",131.200000,-71.000000,0.000000,top
"R6","4.7k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.000000,-112.500000,180.000000,top
"R7","4.7k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.000000,-114.500000,180.000000,top
"R8","100k 1%","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",151.600000,-121.000000,0.000000,top
"SW1","6x6x5mm","SW_Push_1P1T_NO_6x6mm_H5mm",104.000000,-79.000000,-90.000000,top
"SW2","6x6x5mm","SW_Push_1P1T_NO_6x6mm_H5mm",104.000000,-90.000000,-90.000000,top
"SW3","6x6x5mm","SW_Push_1P1T_NO_6x6mm_H5mm",150.000000,-79.000000,90.000000,top
"SW4","6x6x5mm","SW_Push_1P1T_NO_6x6mm_H5mm",150.000000,-90.000000,90.000000,top
"U1","74AHC1G125","SOT-23-5_HandSoldering",125.550000,-92.200000,0.000000,top
"U3","SHT31-DIS","Sensirion_DFN-8-1EP_2.5x2.5mm_P0.5mm_EP1.1x1.7mm",149.750000,-116.450000,-90.000000,top
